year,method,pix_count,area_km2
2018,linear,146476971.40392157,131829.27426352943
2019,linear,153322004.44444445,137989.804
2020,linear,160167037.48496732,144150.33373647058
2021,linear,167012070.5254902,150310.86347294116
2022,linear,173857103.56601307,156471.39320941176
2023,linear,180702136.60653594,162631.92294588234
2024,linear,187547169.6470588,168792.45268235292
2025,linear,194392202.6875817,174952.98241882352
2026,linear,201237235.72810456,181113.5121552941
2027,linear,208082268.76862743,187274.04189176467
2028,linear,214927301.8091503,193434.57162823528
2029,linear,221772334.84967318,199595.10136470586
2030,linear,228617367.89019606,205755.63110117643
2018,quadratic,146476971.40392157,131829.27426352943
2019,quadratic,154736863.5003457,139263.17715031112
2020,quadratic,163704185.12472042,147333.76661224838
2021,quadratic,173378936.27704576,156041.0426493412
2022,quadratic,183761116.95732182,165385.00526158966
2023,quadratic,194850727.16554844,175365.6544489936
2024,quadratic,206647766.90172553,185982.99021155297
2025,quadratic,219152236.1658535,197237.01254926817
2026,quadratic,232364134.9579321,209127.72146213893
2027,quadratic,246283463.27796125,221655.11695016513
2028,quadratic,260910221.12594056,234819.19901334652
2029,quadratic,276244408.50187135,248619.96765168422
2030,quadratic,292286025.4057524,263057.42286517716
2018,cubic,146476971.40392157,131829.27426352943
2019,cubic,155588503.05247998,140029.652747232
2020,cubic,166200994.87767392,149580.89538990654
2021,cubic,178535073.40307415,160681.56606276674
2022,cubic,192811365.152251,173530.2286370259
2023,cubic,209250496.64877534,188325.44698389783
2024,cubic,228073094.41621804,205265.78497459626
2025,cubic,249499784.97814965,224549.80648033472
2026,cubic,273751194.85814023,246376.07537232622
2027,cubic,301047950.579761,270943.1555217849
2028,cubic,331610678.6665821,298449.6107999239
2029,cubic,365660005.6421747,329094.0050779573
2030,cubic,403416558.03011036,363074.9022270993
