year,pix_count,area_km2
1991,44937026.656618446,40443.3239909566
1994,51171350.40243186,46054.215362188675
1997,58270591.02101948,52443.531918917535
2000,66354742.47280366,59719.268225523294
2003,75560446.04119065,68004.40143707159
2006,86043299.89350419,77438.96990415378
2009,97980489.05809288,88182.4401522836
2012,111573780.27045913,100416.4022434132
2015,127052932.30838875,114347.63907754987
2018,144679579.45881277,130211.6215129315
2021,164751653.75618145,148276.48838056333
2024,187608420.73862526,168847.57866476275
2027,213636213.83812937,192272.59245431644
2030,243274964.3294363,218947.4678964927
